prop_handle,enum_value,http_status,passed,notes
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,M3D,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,OAM,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,OCT,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,OPM,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,OPT,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,OPTBSV,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,OPTENF,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,OPV,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,OSS,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,PLAN,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,POS,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,REG,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,RESP,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,RWV,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,SEG,200,True,
performed_imaging_study_nonAcquisitionModalitiesInStudyCode,SRF,200,True,
