prop_handle,enum_value,term_value,description,model_handle,version_string,node_handle
alteration,IGF1R mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,inv(16),inv(16),The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,inv(16)(p13.3q24.3)/CBFA2T3-GLIS2,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,inv(16)(p13q22),inv(16)(p13q22),The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,inv(3)(q21;q21.2),inv(3)(q21;q21.2),The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,inv(X)(p11.4;p11.22),,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,KIT Exon 8 Mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,KIT Exon 17 Mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,K-RAS mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,KRAS Mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,Loss of Chromosome 11q (Deletion),,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,Loss of Chromosome 1p (Deletion),,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,Loss of chromosome Y (LOY),,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,MDM2 mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,MLL Other partner,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,Monosomy 5,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,Monosomy 7,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,Monosomy X,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,MTOR mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,MYC Amplification,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,MYCN Amplification,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,MYCN mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,MYOD1 Mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,N-RAS mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,NF1 mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,Non-KMT2A MLLT10,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,NPM1 mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,NRAS mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,NTRK Rearranged,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,Not Reported,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,Other,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,p.F1174L,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,PDGFRA Mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,PIK3CA Mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,PKN1 mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,PTCH1 Mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,PTPN11 mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,ROBO1 mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,ROS1 rearranged,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,RUNX1 mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,SMARCA4 mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,SMARCB1 deleted/mutated,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,SMO Mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,SOS1 mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,SOS2 mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,STAG2,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,SUFU Mutation,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
